week_start,quarter,sessions,signups,revenue_php,conversion_rate
2022-08-29,2022-Q3,6104,166,195559.22,0.0273
2022-09-05,2022-Q3,5990,164,194624.7,0.0274
2022-09-12,2022-Q3,6026,171,191307.73,0.0285
2022-09-19,2022-Q3,6026,173,196727.26,0.0287
2022-09-26,2022-Q3,6143,186,222555.94,0.0303
2022-10-03,2022-Q4,6015,188,205163.86,0.0313
2022-10-10,2022-Q4,6004,192,230884.39,0.0319
2022-10-17,2022-Q4,6052,194,231145.52,0.0321
2022-10-24,2022-Q4,6056,206,226757.89,0.034
2022-10-31,2022-Q4,6096,211,231490.88,0.0346
2022-11-07,2022-Q4,6307,223,245094.78,0.0354
2022-11-14,2022-Q4,6343,232,259227.62,0.0366
2022-11-21,2022-Q4,6380,235,266879.75,0.0368
2022-11-28,2022-Q4,6570,248,281336.94,0.0377
2022-12-05,2022-Q4,6539,247,286611.75,0.0377
2022-12-12,2022-Q4,6721,260,287441.29,0.0386
2022-12-19,2022-Q4,6790,265,312201.11,0.0391
2022-12-26,2022-Q4,6847,265,297616.42,0.0387
2023-01-02,2023-Q1,6911,267,293985.42,0.0386
2023-01-09,2023-Q1,6929,275,316174.53,0.0397
2023-01-16,2023-Q1,7048,268,315858.87,0.038
2023-01-23,2023-Q1,7255,276,328530.11,0.038
2023-01-30,2023-Q1,7258,271,302684.81,0.0373
2023-02-06,2023-Q1,7242,274,314711.96,0.0379
2023-02-13,2023-Q1,7460,283,308648.95,0.038
2023-02-20,2023-Q1,7498,269,308646.54,0.0359
2023-02-27,2023-Q1,7473,260,311156.89,0.0348
2023-03-06,2023-Q1,7543,257,308231.33,0.0341
2023-03-13,2023-Q1,7613,259,309451.36,0.0341
2023-03-20,2023-Q1,7761,255,303521.42,0.0328
2023-03-27,2023-Q1,7728,244,280429.67,0.0316
2023-04-03,2023-Q2,7871,240,270230.86,0.0305
2023-04-10,2023-Q2,7674,233,268073.14,0.0304
2023-04-17,2023-Q2,7832,235,262312.88,0.03
2023-04-24,2023-Q2,7719,216,253826.63,0.0279
2023-05-01,2023-Q2,7888,213,242125.2,0.0271
2023-05-08,2023-Q2,7706,206,232141.62,0.0267
2023-05-15,2023-Q2,7777,196,214137.48,0.0252
2023-05-22,2023-Q2,7885,197,215027.63,0.025
2023-05-29,2023-Q2,7842,186,213716.86,0.0237
2023-06-05,2023-Q2,7693,184,217702.34,0.0239
2023-06-12,2023-Q2,7607,182,214099.66,0.024
2023-06-19,2023-Q2,7739,184,221421.28,0.0238
2023-06-26,2023-Q2,7677,174,209601.24,0.0227
2023-07-03,2023-Q3,7478,171,187498.97,0.0229
2023-07-10,2023-Q3,7454,171,200643.23,0.0229
2023-07-17,2023-Q3,7537,179,215393.98,0.0237
2023-07-24,2023-Q3,7480,180,215401.61,0.024
2023-07-31,2023-Q3,7491,185,213444.06,0.0247
2023-08-07,2023-Q3,7485,190,226137.35,0.0254
2023-08-14,2023-Q3,7478,192,230414.25,0.0257
2023-08-21,2023-Q3,7274,185,219357.13,0.0255
2023-08-28,2023-Q3,7461,194,211511.39,0.026
2023-09-04,2023-Q3,7471,204,241132.55,0.0272
2023-09-11,2023-Q3,7361,208,240966.33,0.0282
2023-09-18,2023-Q3,7476,225,265157.85,0.0301
2023-09-25,2023-Q3,7465,230,265219.83,0.0309
2023-10-02,2023-Q4,7424,232,269738.7,0.0312
2023-10-09,2023-Q4,7375,229,275368.9,0.0311
2023-10-16,2023-Q4,7529,252,289076.79,0.0334
2023-10-23,2023-Q4,7451,249,299090.06,0.0335
2023-10-30,2023-Q4,7573,266,295136.89,0.0351
2023-11-06,2023-Q4,7596,273,311535.37,0.0359
2023-11-13,2023-Q4,7717,287,319160.53,0.0372
2023-11-20,2023-Q4,7653,288,343586.05,0.0377
2023-11-27,2023-Q4,7832,289,343245.79,0.0369
2023-12-04,2023-Q4,7907,298,352026.32,0.0377
2023-12-11,2023-Q4,8113,314,372259.6,0.0387
2023-12-18,2023-Q4,8193,325,372037.86,0.0396
2023-12-25,2023-Q4,8184,321,373009.15,0.0392
2024-01-01,2024-Q1,8349,320,364261.84,0.0384
2024-01-08,2024-Q1,8343,331,395253.54,0.0397
2024-01-15,2024-Q1,8350,317,377528.68,0.0379
2024-01-22,2024-Q1,8574,336,372352.44,0.0392
2024-01-29,2024-Q1,8538,329,387771.77,0.0386
2024-02-05,2024-Q1,8767,333,384363.92,0.038
2024-02-12,2024-Q1,8817,331,390361.67,0.0376
2024-02-19,2024-Q1,8884,323,372836.51,0.0364
2024-02-26,2024-Q1,8934,309,354353.83,0.0346
2024-03-04,2024-Q1,8852,310,364683.04,0.035
2024-03-11,2024-Q1,8998,308,347642.78,0.0342
2024-03-18,2024-Q1,9128,302,364460.51,0.0331
2024-03-25,2024-Q1,9191,295,340682.96,0.0321
2024-04-01,2024-Q2,9177,293,339642.11,0.0319
2024-04-08,2024-Q2,9148,276,319100.72,0.0301
2024-04-15,2024-Q2,9164,269,319066.73,0.0294
2024-04-22,2024-Q2,9226,265,293219.2,0.0287
2024-04-29,2024-Q2,9070,246,283174.01,0.0271
2024-05-06,2024-Q2,9116,244,279611.48,0.0267
2024-05-13,2024-Q2,9258,231,277006.09,0.0249
2024-05-20,2024-Q2,9022,227,248733.91,0.0252
2024-05-27,2024-Q2,8997,221,242639.11,0.0246
2024-06-03,2024-Q2,9120,225,251027.08,0.0246
2024-06-10,2024-Q2,9155,217,255019.21,0.0237
2024-06-17,2024-Q2,8905,208,231081.33,0.0234
2024-06-24,2024-Q2,8884,201,231036.45,0.0227
2024-07-01,2024-Q3,8966,208,230637.84,0.0232
2024-07-08,2024-Q3,8799,195,221602.23,0.0222
2024-07-15,2024-Q3,8861,211,245690,0.0238
2024-07-22,2024-Q3,8905,217,261876.12,0.0243
2024-07-29,2024-Q3,8731,201,234645.53,0.023
2024-08-05,2024-Q3,8825,213,254487.71,0.0241
2024-08-12,2024-Q3,8666,222,249304.88,0.0256
2024-08-19,2024-Q3,8610,229,252480.73,0.0266
2024-08-26,2024-Q3,8726,234,260737.63,0.0268
2024-09-02,2024-Q3,8634,235,260833.4,0.0272
2024-09-09,2024-Q3,8605,247,276113.18,0.0287
2024-09-16,2024-Q3,8620,244,285112.69,0.0283
2024-09-23,2024-Q3,8761,261,312161.66,0.0298
2024-09-30,2024-Q3,8666,274,328208.45,0.0316
2024-10-07,2024-Q4,8701,279,327470.12,0.032
2024-10-14,2024-Q4,8799,295,354356.6,0.0335
2024-10-21,2024-Q4,8869,303,333804.47,0.0342
2024-10-28,2024-Q4,8899,315,353642.6,0.0354
2024-11-04,2024-Q4,8897,325,388303.16,0.0365
2024-11-11,2024-Q4,8960,318,346746.09,0.0355
2024-11-18,2024-Q4,9139,337,394073.4,0.0369
2024-11-25,2024-Q4,9297,353,417492.67,0.0379
2024-12-02,2024-Q4,9341,348,391004.3,0.0372
2024-12-09,2024-Q4,9226,354,401862.18,0.0384
2024-12-16,2024-Q4,9472,362,407004.62,0.0382
2024-12-23,2024-Q4,9547,377,442527.14,0.0395
